u_bin_left,u_bin_center,n_total,n_success,pdr_band,pdr_phy_band,late_ratio_phy_band,delay_p95_band_ms,delay_p99_band_ms,mean_blockage_b
-0.25,-0.225,3031,270,0.08907951171230617,0.09336852523919499,0.045936395759717315,80.95938598988552,95.28181351184053,0.014488457929337317
-0.2,-0.17500000000000002,2780,143,0.05143884892086331,0.05539568345323741,0.07142857142857142,72.71602399327385,86.7457284403816,0.05157122810613979
-0.15000000000000002,-0.12500000000000003,2555,82,0.03209393346379648,0.034833659491193734,0.07865168539325842,81.29127441709073,96.99832110652736,0.12925816046614705
-0.1,-0.07500000000000001,2178,19,0.008723599632690543,0.014233241505968778,0.3870967741935484,,,0.2429630178401881
-0.05,-0.025,20495,458,0.022346913881434498,0.024688948524030252,0.09486166007905138,84.05464683449983,98.07037102079482,0.3338273846067917
0.0,0.025,25779,1332,0.05166996392412429,0.054268978626013424,0.04789135096497498,69.90656897212556,91.13819848603109,0.3501220486521732
0.05,0.07500000000000001,1563,41,0.026231605886116442,0.026871401151631478,0.023809523809523808,,,0.3545344274671675
0.1,0.125,1488,59,0.0396505376344086,0.04032258064516129,0.016666666666666666,89.91576538431751,95.1251837754092,0.3719334031481724
0.15000000000000002,0.17500000000000002,1222,83,0.06792144026186579,0.06873977086743044,0.011904761904761904,64.78978612659081,83.25433825176212,0.40932978004740167
0.2,0.225,1574,127,0.0806861499364676,0.0806861499364676,0.0,63.2545868993824,71.6196685925465,0.4618538369082033
0.25,0.275,1153,76,0.06591500433651344,0.06764960971379011,0.02564102564102564,59.581669026219856,80.21999791023401,0.5339048754721055
0.30000000000000004,0.32500000000000007,1498,127,0.08477970627503338,0.08544726301735647,0.0078125,55.23548606817077,86.06091805272983,0.6149829459885452
0.35000000000000003,0.37500000000000006,1275,78,0.0611764705882353,0.0611764705882353,0.0,79.55620059444047,89.31231447538582,0.6961034378724948
0.4,0.42500000000000004,1012,46,0.045454545454545456,0.045454545454545456,0.0,,,0.7564982808927823
0.45,0.47500000000000003,1137,31,0.027264731750219876,0.027264731750219876,0.0,,,0.7926605066947475
0.5,0.525,1302,1,0.0007680491551459293,0.0030721966205837174,0.75,,,0.7939026408872142
0.55,0.5750000000000001,25442,120,0.004716610329376621,0.006681864633283547,0.29411764705882354,88.03296609565231,97.81965115668456,0.7385062117799508
0.6000000000000001,0.6250000000000001,22050,607,0.027528344671201813,0.02947845804988662,0.06615384615384616,72.413973485778,95.16688515729037,0.6982515253936754
0.65,0.675,29582,168,0.005679129200189304,0.00784260699073761,0.27586206896551724,85.7008092942593,96.12905443391773,0.6532650297021443
0.7000000000000001,0.7250000000000001,2288,1,0.00043706293706293706,0.0030594405594405595,0.8571428571428571,,,0.5374958383336009
0.75,0.775,2509,80,0.03188521323236349,0.03308090872857712,0.03614457831325301,55.525935139143336,66.0041613340888,0.4632163128858401
0.8,0.8250000000000001,2801,164,0.058550517672259904,0.05997857907890039,0.023809523809523808,68.43676171364781,89.02440979125342,0.40725785791232616
0.8500000000000001,0.8750000000000001,3263,211,0.06466441924609255,0.06742261722341404,0.04090909090909091,75.20373592742672,85.50915312137141,0.37142112665751964
0.9,0.925,3543,215,0.060683036974315555,0.062376517075924356,0.027149321266968326,67.47485725398616,85.71559099268924,0.3547897245008522
0.9500000000000001,0.9750000000000001,5163,273,0.05287623474723998,0.055975208212279685,0.05536332179930796,75.37169763405682,87.90538065107836,0.35027224435831333
1.0,1.025,6179,274,0.044343744942547336,0.046609483735232236,0.04861111111111111,80.48133875892688,98.23764256590486,0.3300188978007987
1.05,1.075,8278,382,0.046146412176854314,0.04904566320367239,0.059113300492610835,77.28086287243259,94.70058253231602,0.24183140414075652
1.1,1.125,12160,761,0.06258223684210526,0.06554276315789474,0.0451693851944793,75.88883393706422,91.11407199308088,0.12764525870198284
1.1500000000000001,1.175,17947,1701,0.09477907171114949,0.09706357608513957,0.023536165327210104,69.8924071170771,87.59142722976767,0.04764429795790318
1.2000000000000002,1.225,12923,1575,0.12187572545074674,0.12350073512342336,0.013157894736842105,63.36763643890258,83.69368870307164,0.020905797616020017
